full_text;username;;Hasil
Performa permainan Timnas ini di Sea Games kali ini sangat baik dari segi attack, passing, defense, clearence, dan juga mentalitas ğŸ’ªğŸ»ğŸ‘ŠğŸ»;erwinyokoyama;;Puas
Alhamdulillah Ya Allah. Masya Allah Tabarakallah. Semoga setelah ini Timnas Bola Indonesia bisa menaikkan performa lagi dan nggk diremehin lawan.\n#TimnasDay https://t.co/NnF5vQsYTA;Yeowo6;;Puas
Di tangan Indra Sjafri, timnas Indonesia berhasil bawa pulang emas lagi setelah 32 tahun lamanya.\n\nDengan sederet prestasi lainnya, gimana menurutmu performa Indra Sjafri sebagai pelatih sejauh ini, nih?\n https://t.co/VaNRRTWoxu;NarasiNewsroom;;Puas
@ID_Albiceleste @Indostransfer betul sih, performa squad timnas u23 sea games ini bisa spektakuler ya karena salah satu faktornya  diberi kesempatan reguler di klub;DarmantoDiky;;Puas
Mantap Timnas, patut di acungi jempol, tapi Thailand bukan lawan yg bisa diremehkan, semoga performa timnas makin baik kedepannya ğŸ˜‡;yourdreamteller;;Puas
@pahlevinho Tapi performa timnas thailand dan vietnam gak segarang biasanya ya bang?;Yananfield;;Puas
#TimnasDapatEmas setelah Penantian 32 tahun,di bawah \nkepemimpinan ketum PSSI @erickthohir , talenta terbaik timnas sepak bola Indonesia berhasil mencatatkan sejarah dengan menunjukan performa apik dalam pergelaranÂ SEA Games 2023\n#GueBarengErickThohir https://t.co/c8sD3HliiV;abi_sasaLL;;Puas
@PSSI Mhn kepada PSSI..\nAgar tetap menbina Timnas yg ada ini..\nKrn sdh bagus dan Tipe permainan nya..\nSdh sekelas..Eropa\nMhn di Jaga Performa nya\nBiar jgn kendur...\nMelihat permainan tadi mlm...\nMinim kesalahan \nOver bola antar pemain\nSdh Baik....\nAgar di jaga .;JohnpiterT;;Puas
Final sepakbola yang penuh drama.\n\nTapi memang pada babak kedua performa timnas garuda menurun.\n\nHarapannya tentu saja timnas garuda bisa mempersembahkan medali emas.\n\n#SEAGames2023 \n#SEAGames32;MohArifWidarto;;Puas
@iIhamzada Permainannya bagus banget, semoga kalo udah main di timnas senior bisa lebih bagus lagi karena biasanya performa menurun ketika umur di atas 24, padahal kalo di negara top global itu usia emasnya pemain, semoga nggak keblinger dan bisa upgrade pencapaian;halimfuadi;;Puas
'Skuad Garuda Nusantara Tak Terkalahkan' ğŸ”¥\n\nTimnas Indonesia U-22 berhasil meraih medali emas di ajang Sea Games untuk pertama kalinya, sejak 32 tahun yang lalu.\n\nMeski demikian, menurut lo, apa yang harus diperhatikan untuk tetap menjaga performa timnas di kemudian hari? ğŸ¤” https://t.co/vQfgE0yb2q;registaco;;Puas
Kunci kemenangan malam ini terletak pada  mengendalikan emosi dengan bijak. Ketika mampu menjaga ketenangan dalam tekanan, fokus semakin meningkat, dan performa Timnas mencapai level terbaik. Glory Indonesia, More to come!ğŸ† @PSSI;bynoegroho;;Puas
Racikan Coach Indra Sjafri pada Timnas terbukti dengan Raihan medali emasğŸ…. Performa Timnas di Sea Games 2023 ini sangat baik dengan support dan fokus dari Ketum PSSI Erick Thohir. Selamat Timnas Indonesia kalian buktikan mental PEMENANG.\n\n#GueBarengErickThohir\n#TimnasDapatEmas https://t.co/34YqStGSIT;reina_galagher;;Puas
@WKamase13 @Gaotronaldo32 @adyul93 @garagarabola_ Gak ada STY pun mereka pasti dilirik IS karena emang performa mereka diatas rata2.. Liat aja Egi, witan, asnawi, evan dimas produk IS yang sempat dipake di timnas senior yg emang karena pantas;SiomayCapKuda;;Puas
timnas kalo udah unggul langsung ngedrop gitu performa nya;yusufmaulanaaap;;Tidak Puas
Timnas Sepak Bola Indonesia U-22 telah menampilkan performa yang luar biasa pada pertandingan semifinal melawan Timnas Kamboja di Olympic Stadium. Bangkitkan Mental Juara #NyaliTimnas https://t.co/8K7uEX5agI;oki_aisyah;;Puas
Puji Performa 3 Pemain PSIS di Timnas Indonesia SEA Games, CEO: Mengejutkan https://t.co/emJVxIxEna;detik_jateng;;Puas
Publik Vietnam lewat salah satu media lokalnya menyoroti performa Timnas U-22 Indonesia, mengulik apa yang menjadi penyebab skuad Garuda seberbahaya ini. Trengginasnya Marselino Ferdinan cs diklaim tak lepas dari kegagalan tampil di Piala Dunia U-20 2023.\nhttps://t.co/5rxiWHzGbb;tribunSUPERBALL;;Puas
Publik Vietnam lewat salah satu media lokalnya menyoroti performa Timnas U-22 Indonesia, mengulik apa yang menjadi penyebab skuad Garuda seberbahaya ini. Trengginasnya Marselino Ferdinan cs diklaim tak lepas dari kegagalan tampil di Piala Dunia U-20 2023.\nhttps://t.co/db8KSP1B1S;BolaSportcom;;Puas
Performa Timnas Indonesia U-22 dianggap cukup apik oleh media Vietnam, Soha,Â sepanjang babak penyisihan grup sampai semifinal.\n\nSecara total, Indonesia baru kebobolan tiga kali. Statistik yang tidak kalah trengginas jika dibandingkan perjalanan Thailand.;indosportdotcom;;Puas
Dengan semangat Timnas Indonesia mampu menunjukkan performa luar biasa,Kemenangan melawan Vietnam adalah bukti nyata bahwa Erick Thohir mampu Bangkitkan Mental Juara dan #NyaliTimnas  Indonesia\nhttps://t.co/1cVJ6LHNrU;slybery;;Puas
@sy9gfx4icq7_420 Semoga Timnas Garuda tetap konsisten dalam performa nya;EgGb1nthj1wgr;;Puas
Keberhasilan awal kepemimpinan Erick Thohir di PSSI terlihat dari grafik performa dan ranking timnas yang terus naik.\n#GueBarengErickThohir https://t.co/5bU3PfB5RZ;CapingCak;;Puas
Berikut perbandingan statistik performa timnas Indonesia pada babak grup Sea Games 2023 asuhan Indra Sjafri dan babak grup Sea Games 2021 asuhan Shin Tae Yong. Indra Sjafri memiliki catatan yang lebih apik pada semua statistik ini. https://t.co/PrFMMntmcU;lapangbolastats;;Puas
"Performa Rio Fahmi &amp; Bagas Kaffa yang tak meyakinkan membuat Indra Sjafri bisa terpaksa mendorong Fajar Fathurrahman ke belakang. Timnas U-22 Indonesia kini bakal menghadapi Vietnam di semifinal SEA Games 2023, Sabtu (13/5/2023). ğŸ‡®ğŸ‡©ğŸ‡»ğŸ‡³\nhttps://t.co/41eair0i6r";tribunSUPERBALL;;Tidak Puas
Timna Indonesia U-22 melaju ke finalÂ SEA Games 2023Â Kamboja mengalahkan Vietnam.\nSkuad racikan Indra Sjafri menang dramatis 3-2.\nMeningkatnya performa Timnas Indonesia tak terlepas dari sosok @erickthohir yg terus memompa semangat punggawa Garuda Muda.\n\n#GueBarengErickThohir https://t.co/KUGlgdH9vM;Djantjik;;Puas
liat timnas main, syok dewa dimainin lagi tapi emang bagus si, arhan sekarang gw tau lu knp ga dimainin di jepang, marselino emng masi bocah tapi udh oke mainnya, witan performa nya turun, ernando arii lu keren bangettt;_xxx_9_;;Puas
Ironisnya lagi yg suka bully itu netijen yg cuma nonton Timnas tapi gak nonton Liga Indonesia dan bully pemain cuma berdasarkan performa di Timnas tapi gak liat performa di level klub chuaaakkkss;rivalpr_;;Puas
"coach, ngeliat timnas udah main di level Piala Asia ini pun cukup membanggakan. gue pribadi gak nuntut banyak, cuma berharap para pemain bisa menampilkan performa terbaiknya sehingga enak ditonton. kalau lolos fase group Alhamdulillah. SEMANGAT STY &amp; TEAM ğŸ”¥";AMA7ERASUK;;Puas
"Indra Sjafri menemukan susunan pemain terbaik timnas U-22 Indonesia untuk laga semifinal usai merampungkan fase grup Sea Games 2023. Ia berharap para pemain terbaiknya bisa menunjukan performa maksimal demi melaju ke final &amp; meraih medali emas. ğŸ‡®ğŸ‡©ğŸ¦…âš½\nhttps://t.co/Uw0zEmXcDk";BolaSportcom;;Puas
"Indra Sjafri menemukan susunan pemain terbaik timnas U-22 Indonesia untuk laga semifinal usai merampungkan fase grup Sea Games 2023. Ia berharap para pemain terbaiknya bisa menunjukan performa maksimal demi melaju ke final &amp; meraih medali emas. ğŸ‡®ğŸ‡©ğŸ¦…âš½\nhttps://t.co/VC6rNO3IQV";tribunSUPERBALL;;Puas
Intinya begini.\nKalau mau lolos, ya performa pemain bergantung pada kompetisi domestiknya, kalau Liganya kacau, ya pasti di Timnas makin kacau ğŸ˜\nhttps://t.co/9yfC9eBu9r;MuhammadMumu113;;Puas
Kendati memetik kemenangan, performa timnas U-22 tidak mengesankan. Bahkan mereka mendapat tekanan bertubi-tubi sepanjang 30 menit terakhir. Beruntung Kamboja sangat buruk dalam melakukan penyelesaian akhir.\n\n#KambojaU22 #IndonesiaU22 #SEAGames2023\n\nhttps://t.co/tzwBZdQAhZ;GOAL_ID;;Puas
Performa menurun, tidak mampu menjadi permainan team, dan fatalnya staminanya buruk sekali. Entah ada apa dengan witan sulaiman kali ini, permainannya tidak menunjukan pernah bermain di eropa dan bagian dari timnas seniorâ€¦#TimnasIndonesia #SEAGames2023;anamnyairoel;;Puas
"@adenovrianto @StatsRawon Kan ancen ngunu alure : masuk Persebaya&gt;tampil bagus&gt;dipanggil timnas&gt;dipangan klub lain&gt;klub lain gak tahu cara pake&gt;performa menurun&gt;tenggelam, gak dipanggil timnas lagi";tunjungutomo;;Puas
Timnas Indonesia U-22 menjadi satu-satunya peserta SEA Games 2023 yang masih clean sheet. \n\nSang pelatih, Indra Sjafri pun angkat topi dengan performa anak asuhnya di lini belakang.\n#SEAGames2023 \nhttps://t.co/4AkF2rM9mv;sportstarsdotid;;Puas
"@registaco performa timnas ketika lawan tuan rumah kacau,...banyak skli terjadi salah pasing dan pelanggaran, hrs jd evaluasi apalagi Vietnam &amp;Thailand spesialis pressing ketat, bs kocar kacir pertahanan kita nanti";Heidy94727749;;Tidak Puas
Pelatih Indra Sjafri meyakini Timnas Indonesia U-22 bisa capai performa puncak pada semifinal dan final SEA Games 2023. \n\nTimnas Indonesia U-22 sendiri telah lolos ke semifinal.\n#SEAGames2023 \nhttps://t.co/eTAFTyW7LM;sportstarsdotid;;Puas
@heightgakena @PSSI Benar, mulai menurun performa timnas semoga bisa segera diperbaiki dan tetap fokus sampai juara;danangiffah;;Tidak Puas
Performa Timnas Indonesia U-22 Makin Ganas, Kamboja Bisa Jadi Korban Terbaru https://t.co/CJBpfqMQVL;VIVAbola;;Puas
Pelatih Indra Sjafri meyakini Timnas Indonesia U-22 bisa capai performa puncak pada semifinal dan final SEA Games 2023. \n\nTimnas Indonesia U-22 sendiri telah lolos ke semifinal.\n#SEAGames2023 \nhttps://t.co/FzNFGwqEwD;MNCSportstars;;Puas
Pelatih Timnas Indonesia U-22, yakin timnya bakal tampil di puncak performa pada semifinal SEA Games 2023.\n\nhttps://t.co/5WG2M7AEK8;inewsdotid;;Puas
"finally our dream come trueee masğŸ¥¹ akhirnya si no 10 ini main timnas &amp; lanjutin performa baiknya disini. iâ€™m super duper duper proud of youuu. after all things youâ€™ve been through, terima kasih udh manfaatin kesempatan ini sebaik baiknyağŸ¥ºğŸ«¶ğŸ» and thanks for another gooooldğŸ˜ğŸ¥‡ https://t.co/YjxXWJ7O3G";shfflarf;;Puas
"Melihat performa Timnas Indonesia U-22 sejauh ini, plus kembali berharap tuah sang juru taktik, Garuda Muda diyakini bisa mewujudkan target medali emas!\n\nhttps://t.co/3rWh9WY3Vv\n?utm_source=twitter&amp;utm_medium=post&amp;utm_campaign=twitter_erdhy";bolacomID;;Puas
Thn 2019, saat Indonesia bisa merebut kembali emas di Philippines itu wajar krn pd thn itu materi timnas kita adl yg terbaik di ASEAN.\n\nPerforma mrk sdh on fire sjk Asian Games 2018 di Jakarta. Sempat mengalahkan Thailand 3-2. Nothing can stop Indonesia saat itu.\n\n#SEAGames2023;KartasasmitaSB;;Puas
Secara performa witan sulaiman ini under performance, entah alasan apa Indra Sjafri masih terus memainkannya? Apakah timnas tidak memiliki team utk statistik pemain??? #TimnasDay #SEAGames2023;anamnyairoel;;Tidak Puas
@PSSI Sejauh ini performa Marcelino masih belum dapet tempat yg nyaman di timnas. \nKek syng banget kelebihannya belum terakomodir strategi coach IS.;UbaiBaiquni;;Tidak Puas
Meraih kemenangan besar dengan 5 gol tanpa balas atas Myanmar, Timnas Indonesia tunjukan peningkatan performa. #Headline https://t.co/5BBaCU53Vb;kompasiana;;Puas
Menang Telak atas Myanmar di SEA Games 2023, Indra Sjafri Belum Puas dengan Performa Timnas Indonesia U-22 https://t.co/NsiIU5u0d1;liputan6dotcom;;Tidak Puas
Salah satu hal yang pantas mendapat perhatian adalah ialah performa lini pertahanan yang impresif Timnas Indonesia U-22 jika dibandingkan tiga edisi sebelumnya.\n\nhttps://t.co/qODnP8Pvk4;bolacomID;;Puas
Performa Timnas Indonesia U-22 Menurun saat Hajar Timor Leste, Fajar Luar Biasa https://t.co/IBLnfZ0q34;VIVAbola;;Tidak Puas
Timnas SEA Games: Performa Meningkat dan Cetak Lima Gol https://t.co/eQvqYxjACP;kompasiana;;Puas
@penerbitfandom @Indostransfer cuman kalah nasib aja kayaknya waktu itu, permainan tim ini sangat bagus padahal, bahkan jika dibandingkan dengan performa timnas sea games setelahnya, masih belum ada yg bisa melampaui permainan tim ini;onrayirbep;;Puas
Media Vietnam menilai tim dari Grup B Sea Games 2023 harus berhitung untuk menghindari performa gemilang Marselino Ferdinan dan kawan-kawan di semifinal. Saat ini, klasemen Grup A dipimpin timnas U-22 Indonesia dengan 6 poin, hasil dari dua kemenangan. ğŸ§\nhttps://t.co/VvPGT6Jsfr;BolaSportcom;;Puas
Hukumnya:\nJangan berkomentar mengenai performa timnas Indonesia, selama belum ketemu Thailand dan Vietnam.;bluerocketboss;;Puas
ğ‘¶ğ‘µğ‘­ğ‘°ğ‘¹ğ‘¬  ğŸ”¥ğŸ”¥\n\nGoal âš½ï¸âš½ï¸\nAssist âš½ï¸\n\nPerforma Fajar Fathur Rahman Sore Ini Bersama Timnas Indonesia di SEA Games 2023. NGERIK!! ğŸ”¥ğŸ”¥ğŸ”¥\n\nğŸ“· @PSSI \n\n#Timnas #Indonesia #SEAGames #BorneoFC #Samarinda #Manyala #WeAreSamarindans https://t.co/3NyeEZRlre;BorneoSMR;;Puas
Remukkan Myanmar di SEA Games 2023, performa Timnas Indonesia U-22 dinilai alami peningkatan!\nhttps://t.co/idAb81E9Hk;Bolanet;;Puas
@idextratime Dulu inget kata y pemain bola yg kena covid performa y bakal menurun.. ternyata cuma buat timnas Indonesia doang;CahyoAgustian3;;Tidak Puas
Media Vietnam menilai tim dari Grup B Sea Games 2023 harus berhitung untuk menghindari performa gemilang Marselino Ferdinan dan kawan-kawan di semifinal. Saat ini, klasemen Grup A dipimpin timnas U-22 Indonesia dengan 6 poin, hasil dari dua kemenangan. ğŸ§\nhttps://t.co/MTzJ0awO8x;tribunSUPERBALL;;Puas
Performa Marselino Bersama Timnas Indonesia di SEA Games 2023 Tuai Pujian dari Media Asia dan Amerika\n\n#TribunKaltim #Marselino #TimnasIndonesia #SEAGames2023 #TimnasDay\n \nhttps://t.co/sYjvh43eaP lewat @tribunkaltim;tribunkaltim;;Puas
Performa gemilang pada laga kontra Filipina U-22 membuat Rio Fahmi dibanjiri pujian. Namun penggawa Timnas Indonesia U-22 itu meresponsnya dengan tetap merendah.\nhttps://t.co/cJVYs1BzGk;vivagoal_idn;;Puas
Melihat performa timnas negara lain di sea games b aja. Kayaknya timnas nya si kumis bisa bawa emas deh ğŸ‘€ klo jaman sty. timnas negara lain bagus2.;kanslerx;;Puas
Sudah Bantai 2 Tim, Performa Timnas U-22 Belum Puaskan Indra Sjafri https://t.co/kKP2KH0aAR;IDNTimesSport;;Tidak Puas
Gokil ni performa timnas;survace10;;Tidak Puas
Greesel di trainee jeketi ini adalah marselino ferdinan di timnas u-17, ngga ada gugup2nya. Performa di atas rata2 kawannya;umbattt;;Puas
Sosok Marselino Ferdinan, skuad Garuda Muda timnas Indonesia U22 yang berhasil membuka skor kemenangan atas Filipina U22 di SEA Games Kamboja 2023. Performa yang apik membuat Marselino diincar tim Eropa.https://t.co/0iSUkKKRtA;terasjakartaid;;Puas
Timnas SEA Games: Performa Meningkat dan Cetak Lima Gol https://t.co/vksmZDg1to;kompasiana;;Puas
Performa bek kanan Timnas Indonesia U-22, Ilham Rio Fahmi, mengalami peningkatan pesat. Dia pernah dikritik habis-habisan di era Shin Tae-yong. \n\nKini, performanya justru mendapatkan banyak pujian di era Indra Sjafri.\n\n#SEAGames2023 #TimnasIndonesia \nhttps://t.co/54sg83tRIi;sportstarsdotid;;Puas
@PSSI Walaupun menang tapi ttp gk puas sama performanya timnas, mainnya masih amburadul dan blm bisa mengeluarkan performa terbaik mrk, beruntung ini masih lawan Filipina yg klo main bagus dan minim amburadul hrusnya minimal 4-0;KRathalos97;;Tidak Puas
"@garagarabola_ Masih kerja keras lagi untuk event yg terdekat lagi yaitu Asian Games , kalo di Timnas senior wajib kerja keras lagi apalagi kalo Asnawi &amp; Sandy Walsh baru top performa";aardwi15;;Puas
@wobowobow @MaksunKharis @garagarabola_ Sebelum masuk timnas, masuk majalah The guardian krn performa nya sm Persebaya.Klo udah ngikutin main marsel di Persebaya gaakan kaget sm mental nya ni anak;Bpjees;;Puas
Performa Timnas Indonesia U-22 Masih Jauh dari Emas https://t.co/WXwqvJvwpm;CNNIndonesia;;Tidak Puas
Taklukkan Lebanon di Leg Kedua, Indra Sjafri Lebih Suka Performa Timnas Indonesia U-22 saat Kalah di Duel Perdana https://t.co/OtKRrpjmPk;liputan6dotcom;;Puas
Performa Timnas Indonesia U-22 Masih Perlu Dibenahi jika Ingin Rebut Medali Emas SEA Games 2023\n\nhttps://t.co/rtLNIcRK0X;bolacomID;;Puas
Indonesia berhasil menjadi juara usai mengalahkan Thailand dengan skor akhir 5-2, pada pertandingan final cabor sepak bola putra SEA Games 2023, Selasa (16/5) malam.\n#KitaGaruda\n#TimnasIndonesia\nhttps://t.co/Y7TXxSh89Z;pksmataram;;Puas
Datang dengan nyali\nPulang bawa medali\n\nPenantian 32 tahun terbayarkan hari ini, kemenangan ini awal kebangkitan sepakbola Indonesia\nTerimakasih timnas Indonesia, terimakasih Pak @erickthohir atas supportnya\n#TimnasDapatEmas\n#TimnasIndonesia https://t.co/iJwPW0ssOv;selfmirror_;;Puas
Enaknya Tidur Nyenyak Pemain Timnas Indonesia Usai Menang 5 2 dari Tim T... https://t.co/2SihkNyTu1 lewat @YouTube #TimnasIndonesia #thailandelection2023;WartaKepri;;Puas
Pendapat gue tentang timnas dulu dan sekarang..jelas sekarang lebih maju. Mungkin udah pintar pintar.\nDulu mudah terpancing emosi. Sekarang lebih tenang . Mirip Liverpool yg juara LC..bisa membalikkan keadaan . #TimnasIndonesia #SEAGames2023;Bang_Rey11;;Puas
"Terima kasih coach Indra Sjafri &amp; tim official Indonesia juarağŸ¥‡\n32 Tahun âš½ğŸ¥‡\n#SEAGAMES2023 https://t.co/8aHPbYAj7L";27kinkin;;Puas
@sportid33 @theaseanball kami suporter gemes semalam, thailand mmg layak kalah, pemain #timnas layak bergembira. sebaiknya adik marcelino tidak bertingkah berlebihan, kembangkan kemapuan fisik, skill, mental, msh banyak yg harus diraih! bravo #timnasindonesia;gtr791;;Puas
Luaaaarrr biasaa setelah penantian 32 tahun akhirnya medali emas cabang sepakbola sea games pulang ke Indonesia #seagames #medaliemas #indonesia #erickthohir #pssi #sepakbolaindonesia #timnasindonesia #erickthohirwapres #erickthohirsolusirakyat https://t.co/HCDUyEYuNP;ariefalay66;;Puas
32 tahun akhirnyaaaa juaraaaaa.... #SEAGames2023 #TimnasIndonesia;GatotSupra1995;;Puas
Alhamdulillah, Penantian 32 Tahun Berakhir.\nSelamat Timnas Sepak Bola Indonesia Berhasil Membawa Pulang Emas Di Sea Games 2023\n#TimnasIndonesia #TimnasDapatEmas #TimnasU22 #SEAGames2023 https://t.co/aRLpYu7DHF;RuriSopyan;;Puas
I got so emotional for this game, especially the last goal and the last saved, I almost drop my tears God dammit, and also what a goosebumps that I got. #seagames #IndonesiavsVietnam #IndoPride https://t.co/qs9SRj0TC5;princeleviatha;;Puas
2x berhasil unggul , 2x juga skor disamakan , bermain dengan 10 pemain sejak menit 65 , berhasil mencetak goal ketika waktu tambahan tersisa 3 menit . gimana gak nangis . #Timnas #TimnasDay #Taufany #IndonesiavsVietnam #Arhan #SEAGames2023Cambodia #seagames #SeaGames2023 https://t.co/gB0yFHjmDO;KevinTimotius8;;Puas
Pemain2 muda udah lumayan matang berkat byk menit bermain di kompetisi dan STY yg berani mangkas generasi senior untuk kasih chance ke pemain muda selama ini...kebetulan vietnam bukan botak hang seo lagi pelatihnya..fokus ke final siapapun lawannya #TimnasDay #IndonesiavsVietnam https://t.co/tI6LaQWaJR;ddmilan11;;Puas
Kenapa Kita bisa menang, karna kerja keras.\nWalau bermain 10 orang selama 30 menit+\nTapi keberuntungan masih berpihak kpd Indonesia.\n\n#IndonesiavsVietnam \n#IndonesiaJuara;gulo_mariunus;;Tidak Puas
Bersyukur ygy #SeaGames #SEAGames2023 #IndonesiavsThailand https://t.co/e8grpMORe5;riski_2777;;Puas
Selamat Untuk Timnas Indonesia u-22 Mendapatkan Mendali Emas, Kami Sangat Bangga Pada kalian Semua atas perjuangan dan Mentalitas bermain. @erickthohir #TimnasIndonesia #Timnas #TimnasU22 #TimnasDapatEmas #TimnasIndonesiau22 #TimnasU22Indonesia #IndonesiavsThailand #Indonesia https://t.co/pCKCILpzj1;Pandaputih23;;Puas
Timnas Indonesia di sea games sekarang udah gak bisa di anggap remeh, udah gak di bully lagi sama negara tetangga..\nAkhirnya kita dapet emas setelah bersabar ya..\nAlhamdulillah.. ğŸ¥‡\n\n#SEAGames2023 #SeaGames #IndonesiavsThailand #TimnasIndonesia;arvi_ds;;Puas
CONGRATS #INDONESIA ku \nsetelah berusaha penuh juangan ahirnya ada hasil yang memuaskan !!!\n\n#IndonesiavsThailand #SeaGames #hebatbet https://t.co/3LroATD6dV;CsHebatbet;;Puas
Selamat Buat Timnas Indonesia u-22, Telah Meraih Emas Raja Asia. @erickthohir @PSSI @KemenBUMN @skuatgaruda @arga_koerniawan @armoll_93 #SEAGames2023Cambodia #SEAGAMES32CAMBODIA #SEAGames2023 #IndonesiavsThailand #Indonesia #IndonesiaJuara https://t.co/IvYlc5t22S;efran_edison;;Puas
Selamat buat timnas u-22 yg telah meraih medali emas sea games 2023 kamboja setelah 32 tahun, kami bangga dan senang! #TimnasDay #TimnasIndonesia #SEAGames2023 #TimnasU22 #MedaliEmas \nhttps://t.co/8jPOw6GAy3;fajarkurnianto;;Puas
Selamat TIMNAS Indonesia \n\n#VisitLebak #LebakUnique #BekerjaDenganHati #TerbukaItuKeren #GoDigital #GoDigitalLebak #LebakGoDigital #ayogehbelanjadanjelajahbanten #timnasindonesia #indonesiajuara https://t.co/thlATpqhAp;diskominfolebak;;Puas
Selamat kepada Timnas Indonesia yang sudah menjadi juara 1 dalam ajang Sea Games 2023 di Kamboja. Penantian yang cukup lama setelah 32 tahun tanpa medali emas di cabang olahraga sepak bola. \n\n@fahmyalaydroes\n\n#PKSpembelaRakyat #PKSuntukIndonesia #TimnasIndonesia https://t.co/ftsaXKemF9;pksbogor;;Puas
Enaknya Tidur Nyenyak Pemain Timnas Indonesia Usai Menang 5 2 dari Tim T... https://t.co/2SihkNyTu1 lewat @YouTube #TimnasIndonesia #thailandelection2023;WartaKepri;;Puas
ALHAMDULILLAH AKHIRNYA JUARA Ya ALLAHğŸ¥‡ğŸ‡²ğŸ‡¨ğŸ‡²ğŸ‡¨\n\n#TimnasIndonesia #TimnasJuara #TimnasDapatEmas #ultrasgaruda https://t.co/qNCAdNBhSY;Febriyandosky2;;Puas
Selamat Timnas Sepakbola Indonesia\nSelamat Timnas Sepakbola Indonesia\n\nSalam Indonesia Raya\nGerindra Menang\nPrabowo Presiden\n#PSSI\n#TimnasIndonesia\n#prabowosubianto\n#gerindra \n#gerindramenang \n#mendingprabowo\n#gerindrajateng\n#gerindrasragen https://t.co/DD5J8FIxlF;gerindra_sragen;;Puas
Pendapat gue tentang timnas dulu dan sekarang..jelas sekarang lebih maju. Mungkin udah pintar pintar.\nDulu mudah terpancing emosi. Sekarang lebih tenang . Mirip Liverpool yg juara LC..bisa membalikkan keadaan . #TimnasIndonesia #SEAGames2023;Bang_Rey11;;Puas
Alhamdulillah Penantian 32 tahun berakhir, Selamat Timnas Indonesia berhasil membawa pulang emas Sea Games 2023 #TimnasDapatEmas #TimnasIndonesia https://t.co/kEBfi3ScwT;AdeFauzyAhmad;;Puas
